id, state, cur_score, action, reward, next_state, next_score
5,"[[2, 2, 64, 16], [4, 4, 32, 0], [0, 128, 0, 0], [2, 2, 0, 0]]",68784,right,16,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 0, 128], [0, 0, 0, 4]]",68800
5,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 0, 128], [0, 0, 0, 4]]",68800,up,0,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 0, 128], [4, 0, 0, 4]]",68800
5,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 0, 128], [4, 0, 0, 4]]",68800,right,8,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 2, 128], [0, 0, 0, 8]]",68808
5,"[[0, 4, 64, 16], [0, 2, 8, 32], [0, 0, 2, 128], [0, 0, 0, 8]]",68808,left,0,"[[4, 64, 16, 0], [2, 8, 32, 0], [2, 128, 0, 2], [8, 0, 0, 0]]",68808
5,"[[4, 64, 16, 0], [2, 8, 32, 0], [2, 128, 0, 2], [8, 0, 0, 0]]",68808,up,4,"[[4, 64, 16, 2], [4, 8, 32, 0], [8, 128, 2, 0], [0, 0, 0, 0]]",68812
5,"[[4, 64, 16, 2], [4, 8, 32, 0], [8, 128, 2, 0], [0, 0, 0, 0]]",68812,up,8,"[[8, 64, 16, 2], [8, 8, 32, 0], [0, 128, 2, 0], [0, 0, 0, 4]]",68820
5,"[[8, 64, 16, 2], [8, 8, 32, 0], [0, 128, 2, 0], [0, 0, 0, 4]]",68820,right,16,"[[8, 64, 16, 2], [0, 0, 16, 32], [0, 0, 128, 2], [4, 0, 0, 4]]",68836
5,"[[8, 64, 16, 2], [0, 0, 16, 32], [0, 0, 128, 2], [4, 0, 0, 4]]",68836,up,32,"[[8, 64, 32, 2], [4, 0, 128, 32], [0, 0, 0, 2], [0, 0, 4, 4]]",68868
5,"[[8, 64, 32, 2], [4, 0, 128, 32], [0, 0, 0, 2], [0, 0, 4, 4]]",68868,left,8,"[[8, 64, 32, 2], [4, 128, 32, 0], [2, 0, 4, 0], [8, 0, 0, 0]]",68876
5,"[[8, 64, 32, 2], [4, 128, 32, 0], [2, 0, 4, 0], [8, 0, 0, 0]]",68876,up,64,"[[8, 64, 64, 2], [4, 128, 4, 0], [2, 0, 0, 0], [8, 0, 0, 2]]",68940
5,"[[8, 64, 64, 2], [4, 128, 4, 0], [2, 0, 0, 0], [8, 0, 0, 2]]",68940,right,128,"[[0, 8, 128, 2], [0, 4, 128, 4], [0, 0, 0, 2], [0, 4, 8, 2]]",69068
5,"[[0, 8, 128, 2], [0, 4, 128, 4], [0, 0, 0, 2], [0, 4, 8, 2]]",69068,down,268,"[[4, 0, 0, 0], [0, 0, 0, 2], [0, 8, 256, 4], [0, 8, 8, 4]]",69336
5,"[[4, 0, 0, 0], [0, 0, 0, 2], [0, 8, 256, 4], [0, 8, 8, 4]]",69336,down,24,"[[0, 0, 0, 0], [0, 0, 4, 0], [0, 0, 256, 2], [4, 16, 8, 8]]",69360
5,"[[0, 0, 0, 0], [0, 0, 4, 0], [0, 0, 256, 2], [4, 16, 8, 8]]",69360,left,16,"[[0, 0, 0, 0], [4, 0, 0, 0], [256, 2, 0, 4], [4, 16, 16, 0]]",69376
5,"[[0, 0, 0, 0], [4, 0, 0, 0], [256, 2, 0, 4], [4, 16, 16, 0]]",69376,right,32,"[[2, 0, 0, 0], [0, 0, 0, 4], [0, 256, 2, 4], [0, 0, 4, 32]]",69408
5,"[[2, 0, 0, 0], [0, 0, 0, 4], [0, 256, 2, 4], [0, 0, 4, 32]]",69408,down,8,"[[0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 2, 8], [2, 256, 4, 32]]",69416
5,"[[0, 2, 0, 0], [0, 0, 0, 0], [0, 0, 2, 8], [2, 256, 4, 32]]",69416,left,0,"[[2, 0, 0, 0], [0, 0, 0, 0], [2, 8, 4, 0], [2, 256, 4, 32]]",69416
5,"[[2, 0, 0, 0], [0, 0, 0, 0], [2, 8, 4, 0], [2, 256, 4, 32]]",69416,up,12,"[[4, 8, 8, 32], [2, 256, 0, 0], [0, 0, 2, 0], [0, 0, 0, 0]]",69428
5,"[[4, 8, 8, 32], [2, 256, 0, 0], [0, 0, 2, 0], [0, 0, 0, 0]]",69428,left,16,"[[4, 16, 32, 0], [2, 256, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]",69444
5,"[[4, 16, 32, 0], [2, 256, 0, 0], [2, 2, 0, 0], [0, 0, 0, 0]]",69444,up,4,"[[4, 16, 32, 0], [4, 256, 0, 0], [0, 2, 4, 0], [0, 0, 0, 0]]",69448
5,"[[4, 16, 32, 0], [4, 256, 0, 0], [0, 2, 4, 0], [0, 0, 0, 0]]",69448,up,8,"[[8, 16, 32, 0], [0, 256, 4, 0], [0, 2, 0, 0], [0, 0, 0, 2]]",69456
5,"[[8, 16, 32, 0], [0, 256, 4, 0], [0, 2, 0, 0], [0, 0, 0, 2]]",69456,right,0,"[[4, 8, 16, 32], [0, 0, 256, 4], [0, 0, 0, 2], [0, 0, 0, 2]]",69456
5,"[[4, 8, 16, 32], [0, 0, 256, 4], [0, 0, 0, 2], [0, 0, 0, 2]]",69456,up,4,"[[4, 8, 16, 32], [0, 0, 256, 4], [0, 0, 0, 4], [0, 0, 4, 0]]",69460
5,"[[4, 8, 16, 32], [0, 0, 256, 4], [0, 0, 0, 4], [0, 0, 4, 0]]",69460,up,8,"[[4, 8, 16, 32], [0, 0, 256, 8], [0, 0, 4, 0], [0, 2, 0, 0]]",69468
5,"[[4, 8, 16, 32], [0, 0, 256, 8], [0, 0, 4, 0], [0, 2, 0, 0]]",69468,left,0,"[[4, 8, 16, 32], [256, 8, 0, 0], [4, 0, 0, 0], [2, 2, 0, 0]]",69468
5,"[[4, 8, 16, 32], [256, 8, 0, 0], [4, 0, 0, 0], [2, 2, 0, 0]]",69468,up,16,"[[4, 16, 16, 32], [256, 2, 0, 0], [4, 2, 0, 0], [2, 0, 0, 0]]",69484
